30,pd-standard,g1-small,6,europe-west2-a,0.0285,60
30,pd-standard,g1-small,8,europe-west2-a,0.0285,60
30,pd-standard,n1-standard-1,3,europe-west2-a,0.0523,60
30,pd-standard,n1-standard-1,6,europe-west2-a,0.0523,60
30,pd-standard,n1-standard-1,8,europe-west2-a,0.0523,60
30,pd-standard,n1-standard-2,3,europe-west2-a,0.1046,60
30,pd-standard,n1-standard-2,6,europe-west2-a,0.1046,60
30,pd-standard,n1-standard-2,8,europe-west2-a,0.1046,60
30,pd-standard,n1-highcpu-2,3,europe-west2-a,0.078,60
30,pd-standard,n1-highcpu-2,6,europe-west2-a,0.078,60
30,pd-standard,n1-highcpu-2,8,europe-west2-a,0.078,60
30,pd-standard,n1-highcpu-8,2,europe-west2-a,0.312,60
